text,binary_label
lung cancer is one of the most common forms of this disease in the united states. the most common ca... <truncated>,0
"when a blood clot forms deep within a vein, deep vein thrombosis (dvt) occurs. it’s usually located ... <truncated>",0
one of the most important hygiene products known to modern-day mankind is bathroom tissue paper; or ... <truncated>,5
we all know how corrupt our government is in so many areas. one of the worst is that of diet recomme... <truncated>,0
    you love food and the prospect of dishing out delicacies for others. you don’t want to work for ... <truncated>,0
"is coffee good for you? once again, we return to the question: is coffee good for you, or bad?the la... <truncated>",5
"if you search the internet for diet tips, you can easily read over a million tips. however, not all ... <truncated>",5
 preventing migraines some migraine patients are stuck in a vicious circle of headache – medication ... <truncated>,5
"over the past decade or so, homeopathy has moved from a fringe practice, accessible only from homeop... <truncated>",4
as january rolls around each year gyms around the world buzz with a massive leap in members. weight ... <truncated>,3
homemade winter detox here’s a great way to flush out some toxins and maybe shed a few of those wint... <truncated>,4
"yes, i am highly offended because i am not allowed to say what i wish too. i am highly offended beca... <truncated>",0
"most of us are in a habit of taking too many things too lightly, for example, sleeping. this takes r... <truncated>",5
"george f. sawaya, m.d., and karen smith-mccune, m.d., ph.d. n engl j med 2007; 356:1991-1993may 10, ... <truncated>",0
"good evening. i’m amina khan, and it’s thursday, oct. 29. here’s what’s happening with the coronavir... <truncated>",0
i would like to share my recent experience about the hitlerian style censorship tactics employed aga... <truncated>,0
"measles, or rubeola, is caused by a virus. homeopathic medicine has a long history of treating acute... <truncated>",0
let me tell you about someone i consider an expert on cancer treatment. she had a very successful 50... <truncated>,0
"as 2014 came to a close, the mainstream media and cdc desperately hoped that a last resort media bla... <truncated>",0
understanding the aspects of joint inflammation and a medical condition such as arthritis can be ove... <truncated>,4
this question: “what’s the cause of autism?” – belies our attachment to an old model of medicine in ... <truncated>,0
you’ve heard all your life that you should sleep eight hours a night- but do you really want (or nee... <truncated>,4
"everywhere you look, everywhere you read, there are countless advertisements for internal health imp... <truncated>",5
guest post by colin of raw revelations superfoods with so many choices of vitamins and supplements o... <truncated>,5
  the word detoxification can be scary. when i first heard this phase in the context of a tool for w... <truncated>,0
"the 3 p’s for smarter kids if you are looking to shape your kids up to be the next einstein, we have... <truncated>",5
most dog lovers have had to give medications to their dog. sometimes the meds are flavored and appea... <truncated>,0
"natural gas is an eco-friendly method used for cooking, heating water and powering other appliances ... <truncated>",5
"a preliminary study of a medicine developed by denali therapeutics to treat hunter syndrome, a rare ... <truncated>",0
"sleep is the foundation of good health. without proper rest, the body simply cannot repair and reple... <truncated>",5
"in order to harvest healthy ripe tomatoes this year it is important to properly identify, treat, and... <truncated>",0
gout is the most painful form of arthritis caused by higher than normal uric acid level production i... <truncated>,0
"some neurons in the brain respond to words, objects and faces in a highly selective manner, consiste... <truncated>",4
"if you are like so many people, you want to know how to improve the quality of your health right now... <truncated>",5
avocado in recent years has received an enormous amount of attention in the press and on social medi... <truncated>,0
"bok choy, also known as chinese cabbage is a beautiful, crunchy hydrating vegetable that offers many... <truncated>",0
"when you work in global health, you get to witness some of humankind’s greatest achievements. togeth... <truncated>",0
"i used to be a dairy addict. when my naturopath asked me to give up gluten and dairy 6 years ago, it... <truncated>",5
alexandria’s genesis is a genetic mutation that occurs in stages and causes the eyes to turn from gr... <truncated>,5
"     (natural news)  the horrible situation that unfolded in flint, michigan, reminded many people j... <truncated>",4
"distinguished members of the california senate committee, the argument of forcing a parent to vaccin... <truncated>",0
"prostate cancer and enlargement are a common problem for men over the age of 50, and by the time a m... <truncated>",4
"you must be thinking you have heard everything about semen. but, did you know it has anti-aging bene... <truncated>",5
"a jelly donut.  yum.  what does that have to do with a herniated disc?   well, the jelly donut is a ... <truncated>",5
"the american lifestyle with its poor diet, lack of regular physical activities, and high stress leve... <truncated>",4
"there are destructive and toxic ways we treat our brain, skin and other organs everyday, without giv... <truncated>",0
soy sauce is a staple of chinese cuisine and has been in use since the last 2200 years. prepared fro... <truncated>,0
why exercise makes you work smarter   working out isn’t just for jocks. even 30 minutes of exercise ... <truncated>,5
it is hard to control everything that has an impact on our health. what we actually can control is t... <truncated>,4
"  when it comes to wellness, one of the things that “wellnessman” endorses is to eat many vegetables... <truncated>",0
"nowadays people want to spend less time working out and still be fit. if that’s your case, we’ve got... <truncated>",0
i am not reporting today on the alarming results of a new jama study called adverse events after rou... <truncated>,1
link... <truncated>,5
rheumatoid arthritis (in short ra) is a severe medical condition in which immune system of one’s bod... <truncated>,5
"by now we have a pretty good idea why dis-ease in our body manifests from a scientific viewpoint, bu... <truncated>",0
"many people associate vitamin d with sunshine and bone health, and they are certainly correct about ... <truncated>",5
"with acupuncture having roots in chinese medicine going back over thousands of years, it seems silly... <truncated>",0
the science is settled. have you heard this proclamation before about a controversial medical topic?... <truncated>,5
"if you are suffering from thyroid dysfunction, it is possible that the water you drink and the oral ... <truncated>",5
"one bad meal on vacation can ruin your whole trip. when you’re traveling, you should pay careful att... <truncated>",5
the big “fat” lie in america in the 1970’s doctors and scientists began to understand more about our... <truncated>,0
both salt and potassium are critical to your overall health. they are both crucial in the maintenanc... <truncated>,0
"almost everyone has trouble getting shut-eye from time to time, but if you’re having difficulty drif... <truncated>",4
"namaste all . . . the johns hopkins institute on cancer, after years of telling people that chemothe... <truncated>",0
"to curb the ongoing tidal wave of opioid addiction and overdose deaths, state and federal government... <truncated>",0
"deviled eggs are great for a brunch, appetizers, breakfast or snacks.  it is enjoyable as a change o... <truncated>",5
vitamin b12 is the largest and most complex vitamin molecule and it is also an essential vitamin for... <truncated>,5
quinoa has most definitely earned its place in the world of clean eating and super foods. the ancien... <truncated>,0
" drug coated stents about six years ago, a friend of mine named helen underwent an angioplasty proce... <truncated>",0
"what would you do if there were events that, bit by bit, take place that could adversely affect your... <truncated>",5
in past i have treated many cases of psoriasis by naturopathy. psoriasis is auto immune disorder dis... <truncated>,5
"i am likely going to catch a lot of flak for this article, as i am jumping head first of the politic... <truncated>",0
there’s nothing like shoving off the dock at sunrise when the water is calm and still as a mirror. i... <truncated>,5
the decision to eat or not eat the gmo corn is only a small reason behind why i vehemently support t... <truncated>,5
"the benefits of probiotics are vast and well researched, but not all probiotic supplements are creat... <truncated>",0
poor digestion is the main cause of diseases (part 1) we constantly hear from different sources that... <truncated>,5
"want to improve your heathy, energy level and maybe even live longer? work some of these fun immune ... <truncated>",5
red stretch marks and white stretch marks are not at all that different. the only thing that does ma... <truncated>,5
"are you iron deficient? did your doctor tell you to take and iron supplement, or even write you a pr... <truncated>",5
"there are hosts of ‘big’ actors in the health industry that make the big, bad wolf look like a saint... <truncated>",5
the benefits of meditation are well known throughout the world. many documented studies have proven ... <truncated>,0
natural skincare can reduce the appearance of large pores. large pores are caused by oils and toxins... <truncated>,5
"digestion problems – whether it is heartburn, upset stomach, nausea, vomiting, constipation or diarr... <truncated>",0
there should be deep concern and appall at the alarmingly poor state of health of the american peopl... <truncated>,0
when trying to lose weight exercise can have advantages. it helps you to burn more calories which ca... <truncated>,5
"most people assume that they need to have a lot of land in order to grow organic vegetables, but the... <truncated>",5
  the medical plague of antibiotic resistance is predicted to kill more than 300 million people by 2... <truncated>,0
 are cell phones safe?  the average american cell phone user logs in about 13 hours of calling time ... <truncated>,4
we all know that eating a healthy diet contributes to overall health. increased awareness of the che... <truncated>,5
"an auto accident can be very hard on the mind and body. added to the broken limbs, risk of concussio... <truncated>",5
a senior scientist at mit has declared that we are facing an epidemic of autism that may result in o... <truncated>,0
"beautiful, bright yellow and incredibly tart, lemons are not known as something that you eat all by ... <truncated>",0
"the connection between the foods we eat and how we feel is not anything new, however, recent studies... <truncated>",4
"as we continue to discover more about the amazing health benefits of natural ingredients, and the po... <truncated>",0
smoking was once a glamorized past time. it was so well regarded that almost everyone smoked at some... <truncated>,0
"when most people think about what they want out of life, longevity (and long and healthy life) is on... <truncated>",5
"we have all seen the movies where a character uses garlic to ward off vampires, and they may have be... <truncated>",0
